route_id,origin_iata,destination_iata,origin_city,destination_city,origin_province,destination_province,month,year,month_num,quarter,season,covid_period,is_peak_travel_month,route_group,strategic_role,status_assumption,is_regional_origin,is_hub_destination,distance_km,route_segment,nearest_origin_hub_iata,nearest_origin_hub_distance_km,notes
YKF_YVR,YKF,YVR,Waterloo Region,Vancouver,ON,BC,2020-01-01,2020,1,1,winter,covid_shock,0,personal_anchor,long_haul_regional,historical_to_validate,1,1,3301.9,long_haul,YYZ,65.3,Waterloo-Vancouver is the motivating discontinued route.
YKF_YVR,YKF,YVR,Waterloo Region,Vancouver,ON,BC,2020-02-01,2020,2,1,winter,covid_shock,0,personal_anchor,long_haul_regional,historical_to_validate,1,1,3301.9,long_haul,YYZ,65.3,Waterloo-Vancouver is the motivating discontinued route.
YKF_YVR,YKF,YVR,Waterloo Region,Vancouver,ON,BC,2020-03-01,2020,3,1,spring,covid_shock,1,personal_anchor,long_haul_regional,historical_to_validate,1,1,3301.9,long_haul,YYZ,65.3,Waterloo-Vancouver is the motivating discontinued route.
YKF_YVR,YKF,YVR,Waterloo Region,Vancouver,ON,BC,2020-04-01,2020,4,2,spring,covid_shock,0,personal_anchor,long_haul_regional,historical_to_validate,1,1,3301.9,long_haul,YYZ,65.3,Waterloo-Vancouver is the motivating discontinued route.
YKF_YVR,YKF,YVR,Waterloo Region,Vancouver,ON,BC,2020-05-01,2020,5,2,spring,covid_shock,0,personal_anchor,long_haul_regional,historical_to_validate,1,1,3301.9,long_haul,YYZ,65.3,Waterloo-Vancouver is the motivating discontinued route.
YKF_YVR,YKF,YVR,Waterloo Region,Vancouver,ON,BC,2020-06-01,2020,6,2,summer,covid_shock,1,personal_anchor,long_haul_regional,historical_to_validate,1,1,3301.9,long_haul,YYZ,65.3,Waterloo-Vancouver is the motivating discontinued route.
YKF_YVR,YKF,YVR,Waterloo Region,Vancouver,ON,BC,2020-07-01,2020,7,3,summer,covid_shock,1,personal_anchor,long_haul_regional,historical_to_validate,1,1,3301.9,long_haul,YYZ,65.3,Waterloo-Vancouver is the motivating discontinued route.
YKF_YVR,YKF,YVR,Waterloo Region,Vancouver,ON,BC,2020-08-01,2020,8,3,summer,covid_shock,1,personal_anchor,long_haul_regional,historical_to_validate,1,1,3301.9,long_haul,YYZ,65.3,Waterloo-Vancouver is the motivating discontinued route.
YKF_YVR,YKF,YVR,Waterloo Region,Vancouver,ON,BC,2020-09-01,2020,9,3,fall,covid_shock,0,personal_anchor,long_haul_regional,historical_to_validate,1,1,3301.9,long_haul,YYZ,65.3,Waterloo-Vancouver is the motivating discontinued route.
YKF_YVR,YKF,YVR,Waterloo Region,Vancouver,ON,BC,2020-10-01,2020,10,4,fall,covid_shock,0,personal_anchor,long_haul_regional,historical_to_validate,1,1,3301.9,long_haul,YYZ,65.3,Waterloo-Vancouver is the motivating discontinued route.
